date,performance,accessibility,best_practices,seo
2026-06-22,52.92,91.17,85.11,89.04
2026-06-23,53.6,90.68,85.77,89.17
2026-06-24,53.34,91.13,84.75,89.22
2026-06-25,53.43,91.13,84.24,88.74
2026-06-26,54.02,91.3,84.62,88.85
2026-06-27,52.3,90.99,84.87,89.06
2026-06-28,54.71,90.33,83.61,88.56
2026-06-29,53.22,90.65,85.8,88.93
2026-06-30,53.09,90.78,84.35,88.56
2026-07-01,51.11,91,85.34,88.6
2026-07-02,51.01,91.04,84.64,88.8
2026-07-03,51.17,90.97,84.06,88.43
2026-07-04,52.65,90.35,85.76,88.27
2026-07-05,52.69,90.61,85.69,87.79
2026-07-06,58.4,90.58,86.77,89.02
2026-07-07,52.92,90.47,86.73,88.67
2026-07-08,53.41,91.46,84.03,88.1
2026-07-09,52.61,91.29,84.36,88.11
2026-07-10,52.45,91.3,83.8,87.54
2026-07-11,57.03,91.35,84.33,88.32
2026-07-12,52.41,91.05,83.78,88.35
2026-07-13,53.84,90.61,83.76,88.12
2026-07-14,53.51,91.19,84.57,88.45
2026-07-15,52.59,91.05,84.78,87.29
2026-07-16,53.77,91.22,84.14,86.76
2026-07-17,56.47,91.15,84.48,87.63
2026-07-18,54.87,91.46,84.47,87.31
2026-07-19,54.07,91.35,84.64,87.92
2026-07-20,52.71,90.73,85.54,87.65
2026-07-21,54.07,91.07,85.12,87.9
2026-07-22,0,0,0,0
